[19-Nov-2014 22:31:39 UTC] PHP Warning:  Module 'ionCube Loader' already loaded in Unknown on line 0
[19-Nov-2014 23:07:13 UTC] PHP Warning:  mysqli_real_connect(): The server requested authentication method unknown to the client [mysql_old_password] in /chroot/home/radarall/radaralley.com/html/wp-includes/wp-db.php on line 1379
[19-Nov-2014 23:07:13 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2054): The server requested authentication method unknown to the client in /chroot/home/radarall/radaralley.com/html/wp-includes/wp-db.php on line 1379
[19-Nov-2014 23:07:13 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in /chroot/home/radarall/radaralley.com/html/wp-includes/wp-db.php on line 1409
[19-Nov-2014 23:07:13 UTC] PHP Warning:  mysql_connect(): The server requested authentication method unknown to the client [mysql_old_password] in /chroot/home/radarall/radaralley.com/html/wp-includes/wp-db.php on line 1409
[19-Nov-2014 23:07:13 UTC] PHP Warning:  mysql_connect(): The server requested authentication method unknown to the client in /chroot/home/radarall/radaralley.com/html/wp-includes/wp-db.php on line 1409
[19-Nov-2014 23:16:32 UTC] PHP Warning:  mysqli_real_connect(): The server requested authentication method unknown to the client [mysql_old_password] in /chroot/home/radarall/radaralley.com/html/wp-includes/wp-db.php on line 1379
[19-Nov-2014 23:16:32 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2054): The server requested authentication method unknown to the client in /chroot/home/radarall/radaralley.com/html/wp-includes/wp-db.php on line 1379
[19-Nov-2014 23:16:32 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in /chroot/home/radarall/radaralley.com/html/wp-includes/wp-db.php on line 1409
[19-Nov-2014 23:16:32 UTC] PHP Warning:  mysql_connect(): The server requested authentication method unknown to the client [mysql_old_password] in /chroot/home/radarall/radaralley.com/html/wp-includes/wp-db.php on line 1409
[19-Nov-2014 23:16:32 UTC] PHP Warning:  mysql_connect(): The server requested authentication method unknown to the client in /chroot/home/radarall/radaralley.com/html/wp-includes/wp-db.php on line 1409
[19-Nov-2014 23:17:54 UTC] PHP Warning:  mysqli_real_connect(): The server requested authentication method unknown to the client [mysql_old_password] in /chroot/home/radarall/radaralley.com/html/wp-includes/wp-db.php on line 1379
[19-Nov-2014 23:17:54 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2054): The server requested authentication method unknown to the client in /chroot/home/radarall/radaralley.com/html/wp-includes/wp-db.php on line 1379
[19-Nov-2014 23:17:54 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in /chroot/home/radarall/radaralley.com/html/wp-includes/wp-db.php on line 1409
[19-Nov-2014 23:17:54 UTC] PHP Warning:  mysql_connect(): The server requested authentication method unknown to the client [mysql_old_password] in /chroot/home/radarall/radaralley.com/html/wp-includes/wp-db.php on line 1409
[19-Nov-2014 23:17:54 UTC] PHP Warning:  mysql_connect(): The server requested authentication method unknown to the client in /chroot/home/radarall/radaralley.com/html/wp-includes/wp-db.php on line 1409
[19-Nov-2014 23:21:27 UTC] PHP Warning:  mysqli_real_connect(): The server requested authentication method unknown to the client [mysql_old_password] in /chroot/home/radarall/radaralley.com/html/wp-includes/wp-db.php on line 1379
[19-Nov-2014 23:21:27 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2054): The server requested authentication method unknown to the client in /chroot/home/radarall/radaralley.com/html/wp-includes/wp-db.php on line 1379
[19-Nov-2014 23:21:27 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in /chroot/home/radarall/radaralley.com/html/wp-includes/wp-db.php on line 1409
[19-Nov-2014 23:21:27 UTC] PHP Warning:  mysql_connect(): The server requested authentication method unknown to the client [mysql_old_password] in /chroot/home/radarall/radaralley.com/html/wp-includes/wp-db.php on line 1409
[19-Nov-2014 23:21:27 UTC] PHP Warning:  mysql_connect(): The server requested authentication method unknown to the client in /chroot/home/radarall/radaralley.com/html/wp-includes/wp-db.php on line 1409
[19-Nov-2014 23:23:18 UTC] PHP Warning:  mysqli_real_connect(): The server requested authentication method unknown to the client [mysql_old_password] in /chroot/home/radarall/radaralley.com/html/wp-includes/wp-db.php on line 1379
[19-Nov-2014 23:23:18 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2054): The server requested authentication method unknown to the client in /chroot/home/radarall/radaralley.com/html/wp-includes/wp-db.php on line 1379
[19-Nov-2014 23:23:18 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in /chroot/home/radarall/radaralley.com/html/wp-includes/wp-db.php on line 1409
[19-Nov-2014 23:23:18 UTC] PHP Warning:  mysql_connect(): The server requested authentication method unknown to the client [mysql_old_password] in /chroot/home/radarall/radaralley.com/html/wp-includes/wp-db.php on line 1409
[19-Nov-2014 23:23:18 UTC] PHP Warning:  mysql_connect(): The server requested authentication method unknown to the client in /chroot/home/radarall/radaralley.com/html/wp-includes/wp-db.php on line 1409
[19-Nov-2014 23:23:20 UTC] PHP Warning:  mysqli_real_connect(): The server requested authentication method unknown to the client [mysql_old_password] in /chroot/home/radarall/radaralley.com/html/wp-includes/wp-db.php on line 1379
[19-Nov-2014 23:23:20 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2054): The server requested authentication method unknown to the client in /chroot/home/radarall/radaralley.com/html/wp-includes/wp-db.php on line 1379
[19-Nov-2014 23:23:20 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in /chroot/home/radarall/radaralley.com/html/wp-includes/wp-db.php on line 1409
[19-Nov-2014 23:23:20 UTC] PHP Warning:  mysql_connect(): The server requested authentication method unknown to the client [mysql_old_password] in /chroot/home/radarall/radaralley.com/html/wp-includes/wp-db.php on line 1409
[19-Nov-2014 23:23:20 UTC] PHP Warning:  mysql_connect(): The server requested authentication method unknown to the client in /chroot/home/radarall/radaralley.com/html/wp-includes/wp-db.php on line 1409
[21-Nov-2014 03:15:44 UTC] PHP Notice:  Trying to get property of non-object in /chroot/home/radarall/radaralley.com/html/wp-includes/capabilities.php on line 1168
[21-Nov-2014 03:15:44 UTC] PHP Notice:  Trying to get property of non-object in /chroot/home/radarall/radaralley.com/html/wp-includes/capabilities.php on line 1169
[21-Nov-2014 03:15:44 UTC] PHP Notice:  Trying to get property of non-object in /chroot/home/radarall/radaralley.com/html/wp-includes/capabilities.php on line 1169
[21-Nov-2014 03:15:44 UTC] PHP Notice:  Trying to get property of non-object in /chroot/home/radarall/radaralley.com/html/wp-includes/capabilities.php on line 1172
[21-Nov-2014 03:15:44 UTC] PHP Notice:  Trying to get property of non-object in /chroot/home/radarall/radaralley.com/html/wp-includes/capabilities.php on line 1172
[21-Nov-2014 03:15:44 UTC] PHP Notice:  Trying to get property of non-object in /chroot/home/radarall/radaralley.com/html/wp-includes/capabilities.php on line 1168
[21-Nov-2014 03:15:44 UTC] PHP Notice:  Trying to get property of non-object in /chroot/home/radarall/radaralley.com/html/wp-includes/capabilities.php on line 1169
[21-Nov-2014 03:15:44 UTC] PHP Notice:  Trying to get property of non-object in /chroot/home/radarall/radaralley.com/html/wp-includes/capabilities.php on line 1169
[21-Nov-2014 03:15:44 UTC] PHP Notice:  Trying to get property of non-object in /chroot/home/radarall/radaralley.com/html/wp-includes/capabilities.php on line 1172
[21-Nov-2014 03:15:44 UTC] PHP Notice:  Trying to get property of non-object in /chroot/home/radarall/radaralley.com/html/wp-includes/capabilities.php on line 1172
[21-Nov-2014 03:15:44 UTC] PHP Notice:  Trying to get property of non-object in /chroot/home/radarall/radaralley.com/html/wp-includes/capabilities.php on line 1168
[21-Nov-2014 03:15:44 UTC] PHP Notice:  Trying to get property of non-object in /chroot/home/radarall/radaralley.com/html/wp-includes/capabilities.php on line 1169
[21-Nov-2014 03:15:44 UTC] PHP Notice:  Trying to get property of non-object in /chroot/home/radarall/radaralley.com/html/wp-includes/capabilities.php on line 1169
[21-Nov-2014 03:15:44 UTC] PHP Notice:  Trying to get property of non-object in /chroot/home/radarall/radaralley.com/html/wp-includes/capabilities.php on line 1172
[21-Nov-2014 03:15:44 UTC] PHP Notice:  Trying to get property of non-object in /chroot/home/radarall/radaralley.com/html/wp-includes/capabilities.php on line 1172
[21-Nov-2014 03:15:44 UTC] PHP Notice:  Trying to get property of non-object in /chroot/home/radarall/radaralley.com/html/wp-includes/capabilities.php on line 1168
[21-Nov-2014 03:15:44 UTC] PHP Notice:  Trying to get property of non-object in /chroot/home/radarall/radaralley.com/html/wp-includes/capabilities.php on line 1169
[21-Nov-2014 03:15:44 UTC] PHP Notice:  Trying to get property of non-object in /chroot/home/radarall/radaralley.com/html/wp-includes/capabilities.php on line 1169
[21-Nov-2014 03:15:44 UTC] PHP Notice:  Trying to get property of non-object in /chroot/home/radarall/radaralley.com/html/wp-includes/capabilities.php on line 1172
[21-Nov-2014 03:15:44 UTC] PHP Notice:  Trying to get property of non-object in /chroot/home/radarall/radaralley.com/html/wp-includes/capabilities.php on line 1172
[21-Nov-2014 03:15:44 UTC] PHP Notice:  Trying to get property of non-object in /chroot/home/radarall/radaralley.com/html/wp-includes/capabilities.php on line 1168
[21-Nov-2014 03:15:44 UTC] PHP Notice:  Trying to get property of non-object in /chroot/home/radarall/radaralley.com/html/wp-includes/capabilities.php on line 1169
[21-Nov-2014 03:15:44 UTC] PHP Notice:  Trying to get property of non-object in /chroot/home/radarall/radaralley.com/html/wp-includes/capabilities.php on line 1169
[21-Nov-2014 03:15:44 UTC] PHP Notice:  Trying to get property of non-object in /chroot/home/radarall/radaralley.com/html/wp-includes/capabilities.php on line 1172
[21-Nov-2014 03:15:44 UTC] PHP Notice:  Trying to get property of non-object in /chroot/home/radarall/radaralley.com/html/wp-includes/capabilities.php on line 1172
[21-Nov-2014 03:15:44 UTC] PHP Notice:  Trying to get property of non-object in /chroot/home/radarall/radaralley.com/html/wp-includes/capabilities.php on line 1168
[21-Nov-2014 03:15:44 UTC] PHP Notice:  Trying to get property of non-object in /chroot/home/radarall/radaralley.com/html/wp-includes/capabilities.php on line 1169
[21-Nov-2014 03:15:44 UTC] PHP Notice:  Trying to get property of non-object in /chroot/home/radarall/radaralley.com/html/wp-includes/capabilities.php on line 1169
[21-Nov-2014 03:15:44 UTC] PHP Notice:  Trying to get property of non-object in /chroot/home/radarall/radaralley.com/html/wp-includes/capabilities.php on line 1172
[21-Nov-2014 03:15:44 UTC] PHP Notice:  Trying to get property of non-object in /chroot/home/radarall/radaralley.com/html/wp-includes/capabilities.php on line 1172
[21-Nov-2014 03:15:44 UTC] PHP Notice:  Trying to get property of non-object in /chroot/home/radarall/radaralley.com/html/wp-includes/capabilities.php on line 1168
[21-Nov-2014 03:15:44 UTC] PHP Notice:  Trying to get property of non-object in /chroot/home/radarall/radaralley.com/html/wp-includes/capabilities.php on line 1169
